phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target
7465811,https://business-page-appeal-1634623-0.web.app/,http://www.phishtank.com/phish_detail.php?phish_id=7465811,2022-03-16T22:52:44+00:00,yes,2022-03-16T23:06:10+00:00,yes,Facebook
7465810,http://www.one-inch.xyz/,http://www.phishtank.com/phish_detail.php?phish_id=7465810,2022-03-16T22:47:16+00:00,yes,2022-03-16T22:53:03+00:00,yes,Other
7465808,https://www.visa.co.jp.fdgg.xyz/,http://www.phishtank.com/phish_detail.php?phish_id=7465808,2022-03-16T22:20:32+00:00,yes,2022-03-16T22:32:59+00:00,yes,Visa
7465803,https://local-eats.com.au,http://www.phishtank.com/phish_detail.php?phish_id=7465803,2022-03-16T22:05:57+00:00,yes,2022-03-16T22:10:10+00:00,yes,Optus
7465802,https://smbc-kdjf.shop/,http://www.phishtank.com/phish_detail.php?phish_id=7465802,2022-03-16T22:02:09+00:00,yes,2022-03-16T22:10:10+00:00,yes,Other
7465800,https://attmailhgdc.weebly.com/,http://www.phishtank.com/phish_detail.php?phish_id=7465800,2022-03-16T22:01:10+00:00,yes,2022-03-16T22:10:10+00:00,yes,Other
7465795,https://hhexfqq.cn,http://www.phishtank.com/phish_detail.php?phish_id=7465795,2022-03-16T21:55:55+00:00,yes,2022-03-16T22:10:10+00:00,yes,Other
7465789,https://sbcglobal00.weebly.com/,http://www.phishtank.com/phish_detail.php?phish_id=7465789,2022-03-16T21:30:56+00:00,yes,2022-03-16T21:32:20+00:00,yes,Other
7465788,http://grupo-ebisaenlinea02934234.atwebpages.com/,http://www.phishtank.com/phish_detail.php?phish_id=7465788,2022-03-16T21:21:27+00:00,yes,2022-03-16T21:32:20+00:00,yes,Other
7465787,http://www.bancaporlnternetlnterbarnk.sx7tqcyq.com/,http://www.phishtank.com/phish_detail.php?phish_id=7465787,2022-03-16T21:14:00+00:00,yes,2022-03-16T21:21:30+00:00,yes,Other
7465785,https://www41.conect-wap-online.space/?identity=iCtDLe6COBBrlEGwPVBoyaOkb4TEx8eoron7gAJwsYsvpSbkXSa1FCg&amp;flow=6iN0FJxADOLAkvcA8sGhALbf4Jt14SuRd98fVMOXGi6Bh5YonbuEyGYko7MaPnRJgGYrCEwXH0w49h8tDmoIF7X&amp;cont=1&amp;link=axieinfinity&amp;campanha=budega,http://www.phishtank.com/phish_detail.php?phish_id=7465785,2022-03-16T21:09:28+00:00,yes,2022-03-16T21:10:58+00:00,yes,Other
